|                 wl |      k_tot |
|             6400.0 | -4.166e+01 |
|             6410.0 | -4.217e+01 |
|  6419.999999999999 | -4.268e+01 |
|             6430.0 | -4.319e+01 |
|             6440.0 | -4.371e+01 |
|  6449.999999999999 | -4.422e+01 |
|             6460.0 | -4.475e+01 |
|             6470.0 | -4.527e+01 |
|             6480.0 | -4.580e+01 |
|             6490.0 | -4.633e+01 |
|             6500.0 | -4.687e+01 |
|             6510.0 | -4.741e+01 |
|  6519.999999999999 | -4.795e+01 |
|             6530.0 | -4.849e+01 |
|             6540.0 | -4.904e+01 |
|             6550.0 | -4.959e+01 |
|             6560.0 | -5.015e+01 |
|             6570.0 | -5.071e+01 |
|             6580.0 | -5.127e+01 |
|  6589.999999999999 | -5.183e+01 |
|             6600.0 | -5.240e+01 |
|             6610.0 | -5.297e+01 |
|  6619.999999999999 | -5.355e+01 |
|             6630.0 | -5.412e+01 |
|             6640.0 | -5.470e+01 |
|             6650.0 | -5.529e+01 |
|  6659.999999999999 | -5.588e+01 |
|             6670.0 | -5.647e+01 |
|             6680.0 | -5.706e+01 |
|  6689.999999999999 | -5.766e+01 |
|             6700.0 | -5.826e+01 |
|             6710.0 | -5.887e+01 |
|             6720.0 | -5.948e+01 |
|             6730.0 | -6.009e+01 |
|             6740.0 | -6.070e+01 |
|             6750.0 | -6.132e+01 |
|  6759.999999999999 | -6.194e+01 |
|             6770.0 | -6.257e+01 |
|             6780.0 | -6.320e+01 |
|             6790.0 | -6.383e+01 |
|             6800.0 | -6.447e+01 |
|             6810.0 | -6.511e+01 |
|             6820.0 | -6.575e+01 |
|  6829.999999999999 | -6.640e+01 |
|             6840.0 | -6.705e+01 |
|             6850.0 | -6.770e+01 |
|  6859.999999999999 | -6.836e+01 |
|             6870.0 | -6.902e+01 |
|             6880.0 | -6.969e+01 |
|             6890.0 | -7.035e+01 |
|  6899.999999999999 | -7.103e+01 |
|             6910.0 | -7.170e+01 |
|             6920.0 | -7.238e+01 |
|  6929.999999999999 | -7.306e+01 |
|             6940.0 | -7.375e+01 |
|             6950.0 | -7.444e+01 |
|             6960.0 | -7.513e+01 |
|             6970.0 | -7.583e+01 |
|             6980.0 | -7.653e+01 |
|             6990.0 | -7.724e+01 |
|  6999.999999999999 | -7.794e+01 |
|             7010.0 | -7.866e+01 |
|             7020.0 | -7.937e+01 |
|  7029.999999999999 | -8.009e+01 |
|             7040.0 | -8.081e+01 |
|             7050.0 | -8.154e+01 |
|             7060.0 | -8.227e+01 |
|  7069.999999999999 | -8.301e+01 |
|             7080.0 | -8.374e+01 |
|             7090.0 | -8.449e+01 |
|  7099.999999999999 | -8.523e+01 |
|             7110.0 | -8.598e+01 |
|             7120.0 | -8.674e+01 |
|             7130.0 | -8.749e+01 |
|  7139.999999999999 | -8.825e+01 |
|             7150.0 | -8.902e+01 |
|             7160.0 | -8.979e+01 |
|  7169.999999999999 | -9.056e+01 |
|             7180.0 | -9.134e+01 |
|             7190.0 | -9.212e+01 |
|             7200.0 | -9.290e+01 |
|             7210.0 | -9.369e+01 |
|             7220.0 | -9.448e+01 |
|             7230.0 | -9.528e+01 |
|  7239.999999999999 | -9.608e+01 |
|             7250.0 | -9.688e+01 |
|             7260.0 | -9.769e+01 |
|  7269.999999999999 | -9.850e+01 |
|             7280.0 | -9.932e+01 |
|             7290.0 | -1.001e+02 |
|             7300.0 | -1.010e+02 |
|  7309.999999999999 | -1.018e+02 |
|             7320.0 | -1.026e+02 |
|             7330.0 | -1.035e+02 |
|  7339.999999999999 | -1.043e+02 |
|             7350.0 | -1.051e+02 |
|             7360.0 | -1.060e+02 |
|             7370.0 | -1.068e+02 |
|  7379.999999999999 | -1.077e+02 |
|             7390.0 | -1.086e+02 |
|             7400.0 | -1.094e+02 |
|  7409.999999999999 | -1.103e+02 |
|             7420.0 | -1.112e+02 |
|             7430.0 | -1.120e+02 |
|             7440.0 | -1.129e+02 |
|             7450.0 | -1.138e+02 |
|             7460.0 | -1.147e+02 |
|             7470.0 | -1.156e+02 |
|  7479.999999999999 | -1.165e+02 |
|             7490.0 | -1.174e+02 |
|             7500.0 | -1.183e+02 |
|  7509.999999999999 | -1.192e+02 |
|             7520.0 | -1.201e+02 |
|             7530.0 | -1.210e+02 |
|             7540.0 | -1.220e+02 |
|  7549.999999999999 | -1.229e+02 |
|             7560.0 | -1.238e+02 |
|             7570.0 | -1.247e+02 |
|  7579.999999999999 | -1.257e+02 |
|             7590.0 | -1.266e+02 |
|             7600.0 | -1.276e+02 |
|             7610.0 | -1.285e+02 |
|  7619.999999999999 | -1.295e+02 |
|             7630.0 | -1.304e+02 |
|             7640.0 | -1.314e+02 |
|  7649.999999999999 | -1.324e+02 |
|             7660.0 | -1.334e+02 |
|             7670.0 | -1.343e+02 |
|  7679.999999999999 | -1.353e+02 |
|             7690.0 | -1.363e+02 |
|             7700.0 | -1.373e+02 |
|             7710.0 | -1.383e+02 |
|  7719.999999999999 | -1.393e+02 |
|             7730.0 | -1.403e+02 |
|             7740.0 | -1.413e+02 |
|  7749.999999999999 | -1.423e+02 |
|             7760.0 | -1.433e+02 |
|             7770.0 | -1.443e+02 |
|             7780.0 | -1.454e+02 |
|  7789.999999999999 | -1.464e+02 |
|             7800.0 | -1.474e+02 |
|             7810.0 | -1.485e+02 |
|  7819.999999999999 | -1.495e+02 |
|             7830.0 | -1.506e+02 |
|             7840.0 | -1.516e+02 |
|             7850.0 | -1.527e+02 |
|             7860.0 | -1.537e+02 |
|             7870.0 | -1.548e+02 |
|             7880.0 | -1.559e+02 |
|  7889.999999999999 | -1.570e+02 |
|             7900.0 | -1.580e+02 |
|             7910.0 | -1.591e+02 |
